20250101 190600,163.16,163.233,163.16,163.23,0
20250101 190700,163.229,163.249,163.212,163.215,0
20250101 190800,163.216,163.25,163.211,163.25,0
20250101 190900,163.25,163.261,163.229,163.235,0
20250101 191000,163.232,163.232,163.184,163.192,0
20250101 191100,163.191,163.191,163.17,163.176,0
20250101 191200,163.175,163.18,163.103,163.113,0
20250101 191300,163.115,163.154,163.102,163.146,0
20250101 191400,163.148,163.154,163.134,163.147,0
20250101 191500,163.147,163.147,163.108,163.119,0
20250101 191600,163.12,163.146,163.106,163.114,0
20250101 191700,163.113,163.117,163.058,163.067,0
20250101 191800,163.063,163.077,163.048,163.074,0
20250101 191900,163.077,163.108,163.065,163.074,0
20250101 192000,163.075,163.082,163.051,163.055,0
20250101 192100,163.054,163.054,163.041,163.046,0
20250101 192200,163.045,163.045,163.008,163.042,0
20250101 192300,163.042,163.068,163.031,163.068,0
20250101 192400,163.068,163.073,163.052,163.067,0
20250101 192500,163.066,163.076,163.058,163.076,0
20250101 192600,163.069,163.071,163.046,163.051,0
20250101 192700,163.05,163.06,163.033,163.033,0
20250101 192800,163.034,163.044,163.032,163.032,0
20250101 192900,163.03,163.03,162.973,162.976,0
20250101 193000,162.975,162.995,162.972,162.974,0
20250101 193100,162.974,163.044,162.973,163.034,0
20250101 193200,163.035,163.043,163.028,163.029,0
20250101 193300,163.028,163.035,163.001,163.003,0
20250101 193400,163.0,163.003,162.983,162.986,0
20250101 193500,162.987,163.025,162.984,163.023,0
20250101 193600,163.023,163.026,163.008,163.024,0
20250101 193700,163.023,163.035,163.013,163.03,0
20250101 193800,163.036,163.094,163.035,163.094,0
20250101 193900,163.094,163.094,163.049,163.062,0
20250101 194000,163.063,163.088,163.044,163.05,0
20250101 194100,163.051,163.086,163.048,163.077,0
20250101 194200,163.074,163.085,163.071,163.081,0
20250101 194300,163.08,163.085,163.067,163.071,0
20250101 194400,163.072,163.081,163.059,163.068,0
20250101 194500,163.07,163.084,163.044,163.061,0
20250101 194600,163.062,163.096,163.061,163.093,0
20250101 194700,163.091,163.097,163.054,163.055,0
20250101 194800,163.056,163.061,163.035,163.049,0
20250101 194900,163.048,163.051,163.033,163.035,0
20250101 195000,163.037,163.047,163.023,163.023,0
20250101 195100,163.024,163.024,162.993,163.008,0
20250101 195200,163.007,163.034,163.005,163.023,0
20250101 195300,163.025,163.058,163.006,163.009,0
20250101 195400,163.012,163.012,162.954,162.956,0
20250101 195500,162.956,162.959,162.903,162.923,0
20250101 195600,162.923,162.974,162.923,162.954,0
20250101 195700,162.956,162.963,162.936,162.943,0
20250101 195800,162.945,162.97,162.889,162.968,0
20250101 195900,162.968,162.979,162.96,162.977,0
20250101 200000,162.977,162.992,162.889,162.986,0
20250101 200100,162.987,163.011,162.984,162.999,0
20250101 200200,163.0,163.05,162.992,163.031,0
20250101 200300,163.032,163.057,163.018,163.047,0
20250101 200400,163.048,163.056,163.022,163.052,0
20250101 200500,163.051,163.062,163.036,163.05,0
20250101 200600,163.05,163.092,163.047,163.075,0
20250101 200700,163.078,163.107,163.065,163.072,0
20250101 200800,163.072,163.082,163.054,163.065,0
20250101 200900,163.065,163.065,163.01,163.015,0
20250101 201000,163.015,163.019,162.968,162.977,0
20250101 201100,162.976,163.042,162.974,163.031,0
20250101 201200,163.03,163.047,163.019,163.021,0
20250101 201300,163.02,163.032,162.991,163.032,0
20250101 201400,163.033,163.059,163.023,163.053,0
20250101 201500,163.05,163.09,163.029,163.09,0
20250101 201600,163.089,163.13,163.078,163.081,0
20250101 201700,163.081,163.1,163.078,163.078,0
20250101 201800,163.079,163.09,163.078,163.087,0
20250101 201900,163.083,163.12,163.079,163.114,0
20250101 202000,163.114,163.115,163.088,163.089,0
20250101 202100,163.088,163.109,163.088,163.094,0
20250101 202200,163.092,163.117,163.092,163.116,0
20250101 202300,163.116,163.157,163.108,163.151,0
20250101 202400,163.153,163.177,163.137,163.154,0
20250101 202500,163.154,163.169,163.137,163.137,0
20250101 202600,163.137,163.174,163.134,163.153,0
20250101 202700,163.153,163.178,163.148,163.17,0
20250101 202800,163.17,163.184,163.165,163.177,0
