20250101 185000;163.043000;163.071000;163.041000;163.067000;0
20250101 185100;163.066000;163.079000;163.066000;163.068000;0
20250101 185200;163.067000;163.110000;163.065000;163.100000;0
20250101 185300;163.098000;163.184000;163.098000;163.183000;0
20250101 185400;163.181000;163.190000;163.151000;163.175000;0
20250101 185500;163.175000;163.176000;163.151000;163.164000;0
20250101 185600;163.166000;163.186000;163.139000;163.183000;0
20250101 185700;163.182000;163.258000;163.175000;163.257000;0
20250101 185800;163.267000;163.310000;163.230000;163.296000;0
20250101 185900;163.297000;163.311000;163.236000;163.238000;0
20250101 190000;163.238000;163.279000;163.228000;163.246000;0
20250101 190100;163.246000;163.282000;163.234000;163.254000;0
20250101 190200;163.265000;163.277000;163.237000;163.275000;0
20250101 190300;163.275000;163.292000;163.209000;163.220000;0
20250101 190400;163.231000;163.233000;163.198000;163.200000;0
20250101 190500;163.200000;163.200000;163.154000;163.158000;0
20250101 190600;163.160000;163.233000;163.160000;163.230000;0
20250101 190700;163.229000;163.249000;163.212000;163.215000;0
20250101 190800;163.216000;163.250000;163.211000;163.250000;0
20250101 190900;163.250000;163.261000;163.229000;163.235000;0
20250101 191000;163.232000;163.232000;163.184000;163.192000;0
20250101 191100;163.191000;163.191000;163.170000;163.176000;0
20250101 191200;163.175000;163.180000;163.103000;163.113000;0
20250101 191300;163.115000;163.154000;163.102000;163.146000;0
20250101 191400;163.148000;163.154000;163.134000;163.147000;0
20250101 191500;163.147000;163.147000;163.108000;163.119000;0
20250101 191600;163.120000;163.146000;163.106000;163.114000;0
20250101 191700;163.113000;163.117000;163.058000;163.067000;0
20250101 191800;163.063000;163.077000;163.048000;163.074000;0
20250101 191900;163.077000;163.108000;163.065000;163.074000;0
20250101 192000;163.075000;163.082000;163.051000;163.055000;0
20250101 192100;163.054000;163.054000;163.041000;163.046000;0
20250101 192200;163.045000;163.045000;163.008000;163.042000;0
20250101 192300;163.042000;163.068000;163.031000;163.068000;0
20250101 192400;163.068000;163.073000;163.052000;163.067000;0
20250101 192500;163.066000;163.076000;163.058000;163.076000;0
20250101 192600;163.069000;163.071000;163.046000;163.051000;0
20250101 192700;163.050000;163.060000;163.033000;163.033000;0
20250101 192800;163.034000;163.044000;163.032000;163.032000;0
20250101 192900;163.030000;163.030000;162.973000;162.976000;0
20250101 193000;162.975000;162.995000;162.972000;162.974000;0
20250101 193100;162.974000;163.044000;162.973000;163.034000;0
20250101 193200;163.035000;163.043000;163.028000;163.029000;0
20250101 193300;163.028000;163.035000;163.001000;163.003000;0
20250101 193400;163.000000;163.003000;162.983000;162.986000;0
20250101 193500;162.987000;163.025000;162.984000;163.023000;0
20250101 193600;163.023000;163.026000;163.008000;163.024000;0
20250101 193700;163.023000;163.035000;163.013000;163.030000;0
20250101 193800;163.036000;163.094000;163.035000;163.094000;0
20250101 193900;163.094000;163.094000;163.049000;163.062000;0
20250101 194000;163.063000;163.088000;163.044000;163.050000;0
20250101 194100;163.051000;163.086000;163.048000;163.077000;0
20250101 194200;163.074000;163.085000;163.071000;163.081000;0
20250101 194300;163.080000;163.085000;163.067000;163.071000;0
20250101 194400;163.072000;163.081000;163.059000;163.068000;0
20250101 194500;163.070000;163.084000;163.044000;163.061000;0
20250101 194600;163.062000;163.096000;163.061000;163.093000;0
20250101 194700;163.091000;163.097000;163.054000;163.055000;0
20250101 194800;163.056000;163.061000;163.035000;163.049000;0
20250101 194900;163.048000;163.051000;163.033000;163.035000;0
20250101 195000;163.037000;163.047000;163.023000;163.023000;0
20250101 195100;163.024000;163.024000;162.993000;163.008000;0
20250101 195200;163.007000;163.034000;163.005000;163.023000;0
20250101 195300;163.025000;163.058000;163.006000;163.009000;0
20250101 195400;163.012000;163.012000;162.954000;162.956000;0
20250101 195500;162.956000;162.959000;162.903000;162.923000;0
20250101 195600;162.923000;162.974000;162.923000;162.954000;0
20250101 195700;162.956000;162.963000;162.936000;162.943000;0
20250101 195800;162.945000;162.970000;162.889000;162.968000;0
20250101 195900;162.968000;162.979000;162.960000;162.977000;0
20250101 200000;162.977000;162.992000;162.889000;162.986000;0
20250101 200100;162.987000;163.011000;162.984000;162.999000;0
20250101 200200;163.000000;163.050000;162.992000;163.031000;0
20250101 200300;163.032000;163.057000;163.018000;163.047000;0
20250101 200400;163.048000;163.056000;163.022000;163.052000;0
20250101 200500;163.051000;163.062000;163.036000;163.050000;0
20250101 200600;163.050000;163.092000;163.047000;163.075000;0
20250101 200700;163.078000;163.107000;163.065000;163.072000;0
20250101 200800;163.072000;163.082000;163.054000;163.065000;0
20250101 200900;163.065000;163.065000;163.010000;163.015000;0
20250101 201000;163.015000;163.019000;162.968000;162.977000;0
20250101 201100;162.976000;163.042000;162.974000;163.031000;0
20250101 201200;163.030000;163.047000;163.019000;163.021000;0
20250101 201300;163.020000;163.032000;162.991000;163.032000;0
20250101 201400;163.033000;163.059000;163.023000;163.053000;0
20250101 201500;163.050000;163.090000;163.029000;163.090000;0
20250101 201600;163.089000;163.130000;163.078000;163.081000;0
20250101 201700;163.081000;163.100000;163.078000;163.078000;0
20250101 201800;163.079000;163.090000;163.078000;163.087000;0
20250101 201900;163.083000;163.120000;163.079000;163.114000;0
20250101 202000;163.114000;163.115000;163.088000;163.089000;0
20250101 202100;163.088000;163.109000;163.088000;163.094000;0
20250101 202200;163.092000;163.117000;163.092000;163.116000;0
20250101 202300;163.116000;163.157000;163.108000;163.151000;0
20250101 202400;163.153000;163.177000;163.137000;163.154000;0
20250101 202500;163.154000;163.169000;163.137000;163.137000;0
20250101 202600;163.137000;163.174000;163.134000;163.153000;0
20250101 202700;163.153000;163.178000;163.148000;163.170000;0
20250101 202800;163.170000;163.184000;163.165000;163.177000;0
20250101 202900;163.180000;163.180000;163.138000;163.139000;0
20250101 203000;163.139000;163.153000;163.138000;163.139000;0
20250101 203100;163.139000;163.145000;163.114000;163.141000;0
20250101 203200;163.142000;163.174000;163.142000;163.168000;0
20250101 203300;163.169000;163.187000;163.163000;163.173000;0
20250101 203400;163.174000;163.177000;163.135000;163.144000;0
20250101 203500;163.143000;163.161000;163.135000;163.136000;0
20250101 203600;163.137000;163.155000;163.136000;163.153000;0
20250101 203700;163.153000;163.189000;163.153000;163.168000;0
20250101 203800;163.167000;163.179000;163.159000;163.178000;0
20250101 203900;163.177000;163.208000;163.177000;163.198000;0
20250101 204000;163.195000;163.198000;163.163000;163.165000;0
20250101 204100;163.164000;163.212000;163.163000;163.188000;0
20250101 204200;163.182000;163.226000;163.176000;163.220000;0
20250101 204300;163.222000;163.228000;163.191000;163.210000;0
20250101 204400;163.212000;163.214000;163.204000;163.206000;0
20250101 204500;163.207000;163.240000;163.200000;163.205000;0
20250101 204600;163.206000;163.207000;163.195000;163.200000;0
20250101 204700;163.200000;163.204000;163.188000;163.200000;0
20250101 204800;163.200000;163.209000;163.185000;163.200000;0
20250101 204900;163.198000;163.208000;163.174000;163.181000;0
20250101 205000;163.181000;163.196000;163.174000;163.181000;0
20250101 205100;163.183000;163.183000;163.146000;163.167000;0
20250101 205200;163.166000;163.168000;163.149000;163.150000;0
20250101 205300;163.150000;163.164000;163.140000;163.148000;0
20250101 205400;163.150000;163.158000;163.132000;163.143000;0
20250101 205500;163.144000;163.161000;163.144000;163.150000;0
20250101 205600;163.151000;163.179000;163.151000;163.172000;0
20250101 205700;163.172000;163.174000;163.138000;163.139000;0
20250101 205800;163.137000;163.147000;163.125000;163.144000;0
20250101 205900;163.141000;163.146000;163.135000;163.146000;0
20250101 210000;163.146000;163.146000;163.122000;163.146000;0
20250101 210100;163.147000;163.149000;163.120000;163.132000;0
20250101 210200;163.130000;163.131000;163.074000;163.074000;0
20250101 210300;163.075000;163.102000;163.075000;163.100000;0
20250101 210400;163.101000;163.129000;163.089000;163.128000;0
20250101 210500;163.129000;163.154000;163.122000;163.133000;0
20250101 210600;163.133000;163.140000;163.115000;163.124000;0
20250101 210700;163.124000;163.128000;163.101000;163.101000;0
20250101 210800;163.102000;163.119000;163.100000;163.119000;0
20250101 210900;163.121000;163.126000;163.112000;163.112000;0
20250101 211000;163.112000;163.120000;163.102000;163.111000;0
20250101 211100;163.111000;163.111000;163.099000;163.108000;0
20250101 211200;163.109000;163.119000;163.104000;163.112000;0
20250101 211300;163.112000;163.112000;163.092000;163.097000;0
20250101 211400;163.097000;163.104000;163.079000;163.099000;0
20250101 211500;163.100000;163.100000;163.088000;163.097000;0
20250101 211600;163.097000;163.097000;163.085000;163.089000;0
20250101 211700;163.088000;163.111000;163.083000;163.103000;0
20250101 211800;163.102000;163.112000;163.090000;163.093000;0
20250101 211900;163.094000;163.101000;163.081000;163.081000;0
20250101 212000;163.082000;163.103000;163.082000;163.091000;0
20250101 212100;163.092000;163.092000;163.075000;163.075000;0
20250101 212200;163.077000;163.083000;163.073000;163.075000;0
20250101 212300;163.074000;163.090000;163.067000;163.090000;0
20250101 212400;163.090000;163.091000;163.076000;163.090000;0
20250101 212500;163.087000;163.090000;163.061000;163.076000;0
20250101 212600;163.076000;163.077000;163.062000;163.067000;0
20250101 212700;163.070000;163.109000;163.070000;163.105000;0
20250101 212800;163.102000;163.102000;163.084000;163.088000;0
20250101 212900;163.088000;163.094000;163.077000;163.082000;0
20250101 213000;163.083000;163.088000;163.078000;163.083000;0
20250101 213100;163.082000;163.091000;163.079000;163.082000;0
20250101 213200;163.082000;163.121000;163.079000;163.116000;0
20250101 213300;163.116000;163.148000;163.111000;163.145000;0
20250101 213400;163.144000;163.188000;163.143000;163.174000;0
20250101 213500;163.175000;163.186000;163.169000;163.184000;0
20250101 213600;163.184000;163.187000;163.163000;163.165000;0
20250101 213700;163.165000;163.166000;163.144000;163.146000;0
20250101 213800;163.146000;163.165000;163.143000;163.162000;0
20250101 213900;163.161000;163.170000;163.149000;163.168000;0
20250101 214000;163.168000;163.168000;163.144000;163.153000;0
20250101 214100;163.154000;163.164000;163.147000;163.156000;0
20250101 214200;163.154000;163.160000;163.137000;163.138000;0
20250101 214300;163.137000;163.155000;163.129000;163.155000;0
20250101 214400;163.154000;163.157000;163.139000;163.141000;0
20250101 214500;163.141000;163.158000;163.128000;163.146000;0
20250101 214600;163.147000;163.153000;163.132000;163.145000;0
20250101 214700;163.143000;163.145000;163.128000;163.138000;0
20250101 214800;163.136000;163.151000;163.128000;163.140000;0
